title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,hc_decoration_options,char_flat_балкон/лоджия,char_building_парковка
"Продается 3-комн. квартира, 96,5 м²",ЖК «Мануфактура James Beck (Джеймс Бек)»,"96,5 м²",,,2,9,2024,Сдан,Без отделки,Новостройка,"96,5 м²",,,3 м,,,Без отделки,12 грузовых,Монолитно-кирпичный,Есть,р-н Петроградский,17к2,3.0,"Петроградская, Горьковская, Выборгская","16 мин., 17 мин., 21 мин.",ГК Балтийская коммерция,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,True,"1499 просмотров, 1 за сегодня",Без отделки,,
"Продается 1-комн. квартира, 33,49 м²",ЖК «Аристократ»,"33,49 м²",11 м²,"15,6 м²",5,8,2030,Не сдан,Чистовая,Новостройка,"33,49 м²",11 м²,"15,6 м²","2,72 м",,,Чистовая,9 грузовых,Монолитный,,р-н Василеостровский,1-3Р,3.0,"Горный институт, Василеостровская, Спортивная","11 мин., 5 мин., 7 мин.",Setl Group,Премиум,Кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"18 просмотров, 1 за сегодня","Чистовая, Черновая",1 балкон,
"Продается 3-комн. квартира, 63,7 м²",ЖК «Пейзажный квартал»,"63,7 м²","35,7 м²","18,1 м²",10,19,2026,Не сдан,Чистовая,Новостройка,"63,7 м²","35,7 м²","18,1 м²","2,55 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Панельный,,р-н Красногвардейский,23,3.0,"Академическая, Девяткино, Гражданский проспект","16 мин., 11 мин., 12 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура",,True,"1109 просмотров, 5 за сегодня",,,Наземная
"Продается 1-комн. квартира, 39,3 м²",ЖК «Grand View (Гранд Вью)»,"39,3 м²","16,4 м²","11,1 м²",8,8,2023,Сдан,Черновая,Новостройка,"39,3 м²","16,4 м²","11,1 м²",,,,Черновая,,Монолитно-кирпичный,Есть,р-н Петроградский,28к2,3.0,"Крестовский остров, Спортивная, Зенит","16 мин., 6 мин., 7 мин.",Setl Group,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"540 просмотров, 1 за сегодня",Черновая,,Подземная
"Продается 2-комн. квартира, 65,38 м²",ЖК «Imperial Club»,"65,38 м²","30,3 м²","17,7 м²",2,7,2026,Не сдан,Черновая,Новостройка,"65,38 м²","30,3 м²","17,7 м²",3 м,,,Черновая,49 грузовых,Монолитно-кирпичный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Спортивная","9 мин., 4 мин., 6 мин.",Setl Group,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"85 просмотров, нет за сегодня","Чистовая, Черновая",1 лоджия,Подземная
"Продается 3-комн. квартира, 61,8 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"61,8 м²","33,7 м²","10,6 м²",1,5,2027,Не сдан,Чистовая,Новостройка,"61,8 м²","33,7 м²","10,6 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"8 просмотров, нет за сегодня",,,
"Продается студия, 30,9 м²",ЖК «Руднева 15»,"30,9 м²","21,3 м²",,6,13,2024,Сдан,Чистовая,Новостройка,"30,9 м²","21,3 м²",,"2,63 м",1 совмещенный,Во двор,Чистовая,,Монолитный,,р-н Выборгский,2к2,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 6 мин., 7 мин.",,,,,,,,False,"15 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 41,67 м²",ЖК «Титул в Московском»,"41,67 м²","12,5 м²","17,1 м²",5,12,2028,Не сдан,Чистовая,Новостройка,"41,67 м²","12,5 м²","17,1 м²","2,77 м",,,Чистовая,"8 пассажирских, 8 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Московская, Ленинский проспект, Звездная","7 мин., 4 мин., 5 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"119 просмотров, 7 за сегодня",,1 лоджия,
"Продается 1-комн. квартира, 35,2 м²",ЖК «Квартал бизнес-класса Б15»,"35,2 м²","12,8 м²","13,6 м²",3,17,2026,Не сдан,С отделкой,Новостройка,"35,2 м²","12,8 м²","13,6 м²","2,73 м",,,С отделкой,"11 пассажирских, 11 грузовых",Монолитно-кирпичный,,р-н Калининский,Б15 жилой квартал,3.0,"Лесная, Выборгская, Площадь Ленина","5 мин., 7 мин., 7 мин.",КВС,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"257 просмотров, 5 за сегодня","Чистовая, Предчистовая",,
"Продается 3-комн. квартира, 131,8 м²",ЖК «Мариоки»,"131,8 м²","60,7 м²","14,2 м²",1,8,2022,Сдан,Без отделки,Новостройка,"131,8 м²","60,7 м²","14,2 м²","2,75 м","1 совмещенный, 2 раздельных",,Без отделки,,Монолитно-кирпичный,,р-н Курортный,ул. Правды,,,,Строительный холдинг Сенатор,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Парки",,False,"33 просмотра, 7 за сегодня",Без отделки,,
"Продается 2-комн. квартира, 90,3 м²",ЖК «Мануфактура James Beck (Джеймс Бек)»,"90,3 м²",,,3,9,2024,Сдан,Без отделки,Новостройка,"90,3 м²",,,3 м,,,Без отделки,12 грузовых,Монолитно-кирпичный,Есть,р-н Петроградский,17к2,3.0,"Петроградская, Горьковская, Выборгская","16 мин., 17 мин., 21 мин.",ГК Балтийская коммерция,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,True,"1808 просмотров, 5 за сегодня",Без отделки,,
