title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_flat_балкон/лоджия,char_building_парковка,hc_decoration_options
"Продается 2-комн. квартира, 64,59 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"64,59 м²",31 м²,"16,3 м²",1,5,2027,Не сдан,Чистовая,Новостройка,"64,59 м²",31 м²,"16,3 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2 просмотра, нет за сегодня",1 балкон,,
"Продается 3-комн. квартира, 63,4 м²",ЖК «Ручьи»,"63,4 м²","36,1 м²","15,5 м²",3,20,2027,Не сдан,Чистовая,Новостройка,"63,4 м²","36,1 м²","15,5 м²","2,55 м",1 раздельный,Во двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","14 мин., 12 мин., 12 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"99 просмотров, 16 за сегодня",1 балкон,,
"Продается 2-комн. квартира, 65,7 м²",ЖК «Клюква.Парк»,"65,7 м²",,,4,12,2028,Не сдан,Без отделки,Новостройка,"65,7 м²",,,"2,72 м",,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,Есть,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"3 просмотра, нет за сегодня",,,
"Продается 1-комн. квартира, 58,3 м²",ЖК «ЦДС Черная речка»,"58,3 м²",,,1,14,2025,Сдан,,Новостройка,"58,3 м²",,,"2,75 м",,,,8 грузовых,Монолитный,Есть,р-н Приморский,10к3,3.0,"Лесная, Черная речка, Выборгская","17 мин., 23 мин., 6 мин.",ЦДС,Бизнес,Монолитный,Подземная,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа",,False,"93 просмотра, 29 за сегодня",,,
"Продается 2-комн. квартира, 60,45 м²",ЖК «ЦДС Dreamline (Дримлайн)»,"60,45 м²",,,3,17,2027,Не сдан,,Новостройка,"60,45 м²",,,"2,75 м",,,,"16 пассажирских, 2 грузовых",Монолитный,,р-н Приморский,24,3.0,"Комендантский проспект, Старая Деревня, Пионерская","11 мин., 11 мин., 12 мин.",ЦДС,Комфорт,"Монолитный, кирпичный",Отдельная многоуровневая,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"15 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 35,03 м²",ЖК «17 линия»,"35,03 м²","15,3 м²","11,3 м²",4,10,2028,Не сдан,Предчистовая,Новостройка,"35,03 м²","15,3 м²","11,3 м²","2,73 м",1 совмещенный,,Предчистовая,"7 пассажирских, 11 грузовых",Монолитный,,р-н Василеостровский,,3.0,"Василеостровская, Горный институт, Приморская","23 мин., 25 мин., 5 мин.",,,,,,,,False,"986 просмотров, 36 за сегодня",1 балкон,,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 41,67 м²",ЖК «Титул в Московском»,"41,67 м²","12,5 м²","17,1 м²",5,12,2028,Не сдан,Чистовая,Новостройка,"41,67 м²","12,5 м²","17,1 м²","2,77 м",,,Чистовая,"8 пассажирских, 8 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Московская, Ленинский проспект, Звездная","7 мин., 4 мин., 5 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"125 просмотров, 13 за сегодня",1 лоджия,,
"Продается 2-комн. квартира, 54,25 м²",ЖК «Ultra City 3.0 (Ультра Сити 3.0)»,"54,25 м²","22,5 м²","16,2 м²",6,17,2027,Не сдан,Предчистовая,Новостройка,"54,25 м²","22,5 м²","16,2 м²","2,75 м",,,Предчистовая,4 пассажирских,Монолитно-кирпичный,Есть,р-н Приморский,,3.0,"Комендантский проспект, Пионерская, Удельная","11 мин., 12 мин., 12 мин.",RBI,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"37 просмотров, 13 за сегодня",,Наземная,
"Продается 2-комн. квартира, 54,54 м²",ЖК «Ultra City 3.0 (Ультра Сити 3.0)»,"54,54 м²","22,5 м²","16,1 м²",7,17,2027,Не сдан,Предчистовая,Новостройка,"54,54 м²","22,5 м²","16,1 м²","2,75 м",,,Предчистовая,4 пассажирских,Монолитно-кирпичный,Есть,р-н Приморский,,3.0,"Комендантский проспект, Пионерская, Удельная","11 мин., 12 мин., 12 мин.",RBI,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"107 просмотров, 1 за сегодня",,Наземная,
"Продается 2-комн. квартира, 56,76 м²",ЖК «Окла (Okla)»,"56,76 м²",,,1,7,2027,Не сдан,,Новостройка,"56,76 м²",,,,,,,,Монолитный,,р-н Приморский,,3.0,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"4 просмотра, 1 за сегодня",,,
"Продается студия, 27,4 м²",ЖК «Лермонтовский 54»,"27,4 м²","14,4 м²","4,7 м²",9,9,2025,Не сдан,Без отделки,Новостройка,"27,4 м²","14,4 м²","4,7 м²",3 м,1 совмещенный,На улицу,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Адмиралтейский,169,3.0,"Балтийская, Фрунзенская, Технологический институт","4 мин., 17 мин., 23 мин.",ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"266 просмотров, 3 за сегодня",1 балкон,Открытая,"Предчистовая, Без отделки"
"Продается 2-комн. квартира, 59,92 м²",ЖК «Любоград»,"59,92 м²","27,1 м²","18,7 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"59,92 м²","27,1 м²","18,7 м²","2,77 м",,,Чистовая,6 пассажирских,Монолитно-кирпичный,,р-н Петродворцовый,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 18 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"99 просмотров, 1 за сегодня",,,
"Продается студия, 35,26 м²",ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"35,26 м²",24 м²,,1,5,2024,Не сдан,Предчистовая,Новостройка,"35,26 м²",24 м²,,"2,65 м",,,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Курортный,18,3.0,"Беговая, Комендантский проспект, Зенит","30 мин., 29 мин., 30 мин.",,,,,,,,True,"662 просмотра, 2 за сегодня",,,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 36,52 м²",ЖК «НИГИЛИСТ»,"36,52 м²","7,8 м²",,4,13,2028,Не сдан,Предчистовая,Новостройка,"36,52 м²","7,8 м²",,"2,74 м",,,Предчистовая,"3 пассажирских, 3 грузовых",Монолитно-кирпичный,,р-н Фрунзенский,,3.0,"Бухарестская, Международная, Волковская","12 мин., 20 мин., 6 мин.",ГК «Bau City Development»,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"34 просмотра, 3 за сегодня",,,"Чистовая, Предчистовая, Без отделки"
"Продается 1-комн. квартира, 39,9 м²",ЖК «Струны»,"39,9 м²","11,1 м²",16 м²,19,23,2026,Не сдан,Предчистовая,Новостройка,"39,9 м²","11,1 м²",16 м²,,,,Предчистовая,,Монолитный,Есть,р-н Выборгский,4,3.0,"Проспект Просвещения, Парнас, Озерки","17 мин., 5 мин., 8 мин.",RBI,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,False,"62 просмотра, нет за сегодня",,Подземная,
"Продается 2-комн. квартира, 56,92 м²",ЖК «Ultra City 3.0 (Ультра Сити 3.0)»,"56,92 м²","23,2 м²","15,2 м²",3,17,2028,Не сдан,Предчистовая,Новостройка,"56,92 м²","23,2 м²","15,2 м²","2,75 м",,,Предчистовая,6 пассажирских,Монолитно-кирпичный,Есть,р-н Приморский,,3.0,"Комендантский проспект, Пионерская, Удельная","11 мин., 12 мин., 12 мин.",RBI,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"264 просмотра, 6 за сегодня",,Наземная,
"Продается студия, 28,63 м²",ЖК «Ассамблея»,"28,63 м²","14,4 м²",5 м²,2,12,2028,Не сдан,Без отделки,Новостройка,"28,63 м²","14,4 м²",5 м²,3 м,1 совмещенный,Во двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Приморская","16 мин., 22 мин., 5 мин.",,,,,,,,True,"2 просмотра, нет за сегодня",,,Без отделки
"Продается 3-комн. квартира, 65 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,65 м²,"34,1 м²","18,2 м²",3,5,2027,Не сдан,Чистовая,Новостройка,65 м²,"34,1 м²","18,2 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"36 просмотров, 10 за сегодня",,,
"Продается 2-комн. квартира, 48,41 м²",ЖК «Морская миля»,"48,41 м²",22 м²,"16,7 м²",2,23,2027,Не сдан,Чистовая,Новостройка,"48,41 м²",22 м²,"16,7 м²","2,55 м",1 раздельный,Во двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красносельский,,3.0,"Автово, Юго-Западная, Кировский завод","6 мин., 18 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"1879 просмотров, 25 за сегодня",,,
"Продается 1-комн. квартира, 33,88 м²",ЖК «MONODOM ART (МОНОДОМ АРТ)»,"33,88 м²",,,2,9,2026,Не сдан,,Новостройка,"33,88 м²",,,"2,83 м",,,,,Монолитно-кирпичный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Приморская","16 мин., 5 мин., 5 мин.",,,,,,,,False,"43 просмотра, 1 за сегодня",,Подземная,
"Продается 3-комн. квартира, 64 м²",ЖК «Ручьи»,64 м²,"36,4 м²","15,7 м²",18,20,2027,Не сдан,Чистовая,Новостройка,64 м²,"36,4 м²","15,7 м²","2,55 м","1 совмещенный, 1 раздельный",Во двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","14 мин., 12 мин., 12 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"1 просмотр, нет за сегодня",1 балкон,,
"Продается 2-комн. квартира, 55,33 м²",ЖК «Дубровский»,"55,33 м²","27,9 м²","15,2 м²",2,4,2027,Не сдан,С отделкой,Новостройка,"55,33 м²","27,9 м²","15,2 м²",,,,С отделкой,,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Купчино, Звездная, Шушары","24 мин., 25 мин., 27 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"3 просмотра, нет за сегодня",,,"Чистовая, Предчистовая"
