title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_flat_балкон/лоджия,char_building_парковка,hc_decoration_options
"Продается 2-комн. квартира, 60,1 м²",ЖК «Монография»,"60,1 м²",,,10,12,2025,Сдан,,Новостройка,"60,1 м²",,,"2,72 м",,,,30 пассажирских,Монолитный,Есть,р-н Пушкинский,14к1,3.0,"Звездная, Купчино, Шушары","10 мин., 13 мин., 13 мин.",Группа Эталон,Комфорт,Монолитный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"11 просмотров, 1 за сегодня",,,
"Продается 2-комн. квартира, 59 м²",ЖК «Клюква.Парк»,59 м²,,,2,12,2028,Не сдан,Без отделки,Новостройка,59 м²,,,"2,72 м",,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,Есть,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"2 просмотра, нет за сегодня",,,
"Продается 3-комн. квартира, 88,9 м²",ЖК «Granholm Village (Гранхолм Вилладж)»,"88,9 м²",,,1,6,2023,Сдан,,Новостройка,"88,9 м²",,,,,,,,Монолитно-кирпичный,Есть,р-н Курортный,3к1,,,,,,,,,,,False,"68 просмотров, 2 за сегодня",,,
"Продается 2-комн. квартира, 54,8 м²",ЖК «ЦДС Dreamline (Дримлайн)»,"54,8 м²",,,2,17,2027,Не сдан,,Новостройка,"54,8 м²",,,,,,,2 грузовых,Монолитный,,р-н Приморский,24,3.0,"Комендантский проспект, Пионерская, Старая Деревня","7 мин., 10 мин., 10 мин.",ЦДС,Комфорт,"Монолитный, кирпичный",Отдельная многоуровневая,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"158 просмотров, 8 за сегодня",,,
"Продается студия, 31,62 м²",ЖК «Регенбоген»,"31,62 м²",,,3,9,2026,Не сдан,Без отделки,Новостройка,"31,62 м²",,,"2,74 м",,,Без отделки,"13 пассажирских, 13 грузовых",Монолитный,,р-н Василеостровский,84,3.0,"Василеостровская, Спортивная, Горный институт","11 мин., 12 мин., 4 мин.",Красная Стрела,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,True,"200 просмотров, 3 за сегодня",,,Без отделки
"Продается студия, 30,81 м²",ЖК «Галерная гавань»,"30,81 м²","17,4 м²",5 м²,2,12,2028,Не сдан,Без отделки,Новостройка,"30,81 м²","17,4 м²",5 м²,"3,02 м",1 совмещенный,Во двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,Есть,р-н Василеостровский,Галерная гавань жилой комплекс,3.0,"Горный институт, Приморская, Василеостровская","6 мин., 8 мин., 9 мин.",,,,,,,,False,"21 просмотр, 1 за сегодня",,,Без отделки
"Продается 2-комн. квартира, 58,89 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"58,89 м²","29,8 м²","10,3 м²",1,5,2027,Не сдан,Чистовая,Новостройка,"58,89 м²","29,8 м²","10,3 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1 просмотр, нет за сегодня",1 балкон,,
"Продается 1-комн. квартира, 35,2 м²",ЖК «Цивилизация на Неве»,"35,2 м²","14,8 м²","12,7 м²",2,15,2024,Сдан,Предчистовая,Новостройка,"35,2 м²","14,8 м²","12,7 м²","2,97 м",1 совмещенный,На улицу и двор,Предчистовая,1 пассажирский,Монолитный,Есть,р-н Невский,3,3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","7 мин., 7 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"600 просмотров, 7 за сегодня",,,
"Продается 2-комн. квартира, 54,38 м²",ЖК «Парадный ансамбль»,"54,38 м²","23,9 м²","18,7 м²",2,5,2028,Не сдан,Чистовая,Новостройка,"54,38 м²","23,9 м²","18,7 м²","2,77 м",,,Чистовая,"9 пассажирских, 9 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Проспект Ветеранов, Юго-Западная, Ленинский проспект","23 мин., 24 мин., 25 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"68 просмотров, 10 за сегодня",1 лоджия,,
"Продается 2-комн. квартира, 54,5 м²",ЖК «Клюква.Парк»,"54,5 м²",,,7,12,2028,Не сдан,Без отделки,Новостройка,"54,5 м²",,,"2,72 м",,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,Есть,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"2 просмотра, нет за сегодня",,,
