title,residential_complex,char_total_area,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_высота_потолков,char_flat_вид_из_окон,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_living_area,char_площадь кухни,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_санузел,char_flat_балкон/лоджия,char_flat_отделка,char_building_количество_лифтов,char_building_парковка,hc_decoration_options,char_building_пандус
"Продается студия, 26,24 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"26,24 м²",2,17,2027,Не сдан,Без отделки,Новостройка,"26,24 м²","2,85 м",Во двор,Монолитно-кирпичный,р-н Московский,13ВА,3,"Звездная, Купчино, Московская","18 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"нет просмотров, нет за сегодня",,,,,,,,,,,
"Продается 2-комн. квартира, 31,79 м²",ЖК «Окла (Okla)»,"31,79 м²",1,7,2027,Не сдан,,Новостройка,"31,79 м²",,,Монолитный,р-н Приморский,,3,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"45 просмотров, 3 за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 28,63 м²",ЖК «Южный Форт»,"28,63 м²",15,20,2026,Не сдан,,Новостройка,"28,63 м²","2,74 м",,Монолитный,р-н Красносельский,62к1,3,"Автово, Ленинский проспект, Кировский завод","8 мин., 8 мин., 8 мин.",ГК Лидер Групп,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"10 просмотров, 2 за сегодня",,,,,,,,6 грузовых,,,
"Продается 1-комн. квартира, 36,61 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"36,61 м²",1,5,2025,Сдан,Чистовая,Новостройка,"36,61 м²",,,Монолитный,р-н Пушкинский,7к1,3,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"43 просмотра, 8 за сегодня","12,3 м²","15,2 м²","12,3 м²","15,2 м²",,,Чистовая,,,,
"Продается 1-комн. квартира, 33,02 м²",ЖК «Юнтолово»,"33,02 м²",1,23,2026,Не сдан,Чистовая,Новостройка,"33,02 м²",,На улицу и двор,Монолитный,р-н Приморский,1к4,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"101 просмотр, 1 за сегодня","10,1 м²","14,8 м²","10,1 м²","14,8 м²",,,Чистовая,1 грузовой,,"Чистовая, Предчистовая",Есть
"Продается 1-комн. квартира, 36,48 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"36,48 м²",2,5,2025,Не сдан,Чистовая,Новостройка,"36,48 м²","2,75 м",На улицу и двор,Монолитный,р-н Московский,5к2,3,"Звездная, Московская, Проспект Ветеранов","18 мин., 19 мин., 23 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"нет просмотров, нет за сегодня","14,2 м²",11 м²,"14,2 м²",11 м²,1 совмещенный,,Чистовая,1 грузовой,,,
"Продается студия, 20,6 м²",ЖК «ЛСР. Большая Охта»,"20,6 м²",10,10,2026,Не сдан,Предчистовая,Новостройка,"20,6 м²","2,7 м",На улицу,Монолитный,р-н Красногвардейский,,3,"Ладожская, Новочеркасская, Чернышевская","4 мин., 4 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"243 просмотра, 3 за сегодня",10 м²,,10 м²,,1 совмещенный,,Предчистовая,"1 пассажирский, 1 грузовой",,,
"Продается 1-комн. квартира, 34,8 м²",ЖК «Пулково Лейк»,"34,8 м²",1,4,2026,Не сдан,Чистовая,Новостройка,"34,8 м²","2,6 м",Во двор,Панельный,р-н Пушкинский,,3,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"21 просмотр, нет за сегодня","10,6 м²","16,5 м²","10,6 м²","16,5 м²",1 совмещенный,,Чистовая,"1 пассажирский, 8 грузовых",Подземная,,
"Продается 1-комн. квартира, 33,5 м²",ЖК «Окла (Okla)»,"33,5 м²",1,7,2027,Не сдан,,Новостройка,"33,5 м²",,,Монолитный,р-н Приморский,,3,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"1 просмотр, нет за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 33,8 м²",ЖК «Октябрьская набережная»,"33,8 м²",7,25,2026,Не сдан,Чистовая,Новостройка,"33,8 м²","2,55 м",На улицу,Монолитный,просп. Большевиков,,3,"Ломоносовская, Пролетарская, Улица Дыбенко","6 мин., 7 мин., 8 мин.",,,,,,,,False,"462 просмотра, 3 за сегодня","11,5 м²","16,2 м²","11,5 м²","16,2 м²",1 совмещенный,,,"1 пассажирский, 1 грузовой",,,
"Продается 1-комн. квартира, 40,69 м²",ЖК «Юнтолово»,"40,69 м²",2,23,2026,Не сдан,Чистовая,Новостройка,"40,69 м²",,На улицу и двор,Монолитный,р-н Приморский,1к3,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"770 просмотров, 4 за сегодня","11,2 м²","19,2 м²","11,2 м²","19,2 м²",,1 лоджия,Чистовая,,,"Чистовая, Предчистовая",
"Продается 1-комн. квартира, 39,89 м²",ЖК «Юнтолово»,"39,89 м²",4,23,2026,Не сдан,Чистовая,Новостройка,"39,89 м²",,На улицу и двор,Монолитный,р-н Приморский,1к4,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"117 просмотров, нет за сегодня","11,3 м²","18,5 м²","11,3 м²","18,5 м²",,1 лоджия,Чистовая,1 грузовой,,"Чистовая, Предчистовая",Есть
"Продается 1-комн. квартира, 40,37 м²",ЖК «Univer City. Город возможностей»,"40,37 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"40,37 м²","2,77 м",,Монолитный,р-н Пушкинский,,3,"Купчино, Шушары, Дунайская","27 мин., 22 мин., 27 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"26 просмотров, нет за сегодня","12,5 м²","17,6 м²","12,5 м²","17,6 м²",,1 лоджия,Чистовая,13 пассажирских,,"Чистовая с мебелью, Чистовая",Есть
"Продается студия, 30,8 м²",ЖК «Прагма city»,"30,8 м²",19,23,2022,Сдан,Предчистовая,Новостройка,"30,8 м²","2,73 м",,Монолитный,р-н Выборгский,дор. Ольгинская,3,"Парнас, Проспект Просвещения, Озерки","19 мин., 7 мин., 9 мин.",,,,,,,,False,"113 просмотров, 2 за сегодня","19,4 м²",,"19,4 м²",,1 совмещенный,1 балкон,Предчистовая,"1 пассажирский, 2 грузовых",Наземная,"Чистовая, Предчистовая, Без отделки",
"Продается 1-комн. квартира, 46,63 м²",ЖК «Новикола»,"46,63 м²",2,8,2025,Сдан,,Новостройка,"46,63 м²","2,85 м",,Монолитный,р-н Красносельский,15к2,3,"Проспект Ветеранов, Ленинский проспект, Автово","24 мин., 24 мин., 26 мин.",ГК Технополис,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"18 просмотров, нет за сегодня",,,,,,,,6 пассажирских,,,
"Продается 1-комн. квартира, 36,2 м²",ЖК «Юттери»,"36,2 м²",5,5,2023,Сдан,Без отделки,Новостройка,"36,2 м²","2,72 м",,Панельный,р-н Колпинский,14,3,"Рыбацкое, Шушары, Пролетарская","22 мин., 24 мин., 26 мин.",Ленстройтрест,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"166 просмотров, 3 за сегодня",,,,,,,,6 грузовых,,,Есть
"Продается студия, 23,9 м²",ЖК «Setl Лофт»,"23,9 м²",9,12,2027,Не сдан,Чистовая,Новостройка,"23,9 м²","2,75 м",,Монолитно-кирпичный,р-н Московский,,3,"Звездная, Купчино, Московская","6 мин., 8 мин., 10 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,True,"127 просмотров, 2 за сегодня","18,1 м²",,"18,1 м²",,,1 балкон,Чистовая,"3 пассажирских, 3 грузовых",,,
"Продается студия, 28,64 м²",ЖК «Аквилон All In 3.0»,"28,64 м²",2,12,2025,Не сдан,,Новостройка,"28,64 м²","2,72 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Звездная, Купчино, Шушары","12 мин., 13 мин., 13 мин.",Группа Аквилон,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"1 просмотр, нет за сегодня",,,,,,,,11 грузовых,,,
"Продается 1-комн. квартира, 32,97 м²",ЖК «Окла (Okla)»,"32,97 м²",1,7,2027,Не сдан,,Новостройка,"32,97 м²",,,Монолитный,р-н Приморский,,3,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"5 просмотров, 3 за сегодня",,,,,,,,,,,
"Продается 2-комн. квартира, 32,83 м²",ЖК «Окла (Okla)»,"32,83 м²",1,7,2027,Не сдан,,Новостройка,"32,83 м²",,,Монолитный,р-н Приморский,,3,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"14 просмотров, 1 за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 49,35 м²",ЖК «UP-квартал Новый Московский»,"49,35 м²",5,10,2025,Сдан,Без отделки,Новостройка,"49,35 м²","2,7 м",На улицу и двор,Монолитно-кирпичный,р-н Пушкинский,329к1,3,"Купчино, Шушары, Дунайская","22 мин., 16 мин., 21 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"206 просмотров, 1 за сегодня","14,2 м²","22,8 м²","14,2 м²","22,8 м²",,,Без отделки,"1 пассажирский, 1 грузовой",,"Чистовая, Черновая, Без отделки",Есть
"Продается 1-комн. квартира, 50,27 м²",ЖК «UP-квартал Новый Московский»,"50,27 м²",2,10,2025,Сдан,Без отделки,Новостройка,"50,27 м²","2,7 м",На улицу и двор,Монолитно-кирпичный,р-н Пушкинский,329к1,3,"Купчино, Шушары, Дунайская","22 мин., 16 мин., 21 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"220 просмотров, нет за сегодня","14,2 м²","23,3 м²","14,2 м²","23,3 м²",,,Без отделки,"1 пассажирский, 1 грузовой",,"Чистовая, Черновая, Без отделки",Есть
"Продается студия, 29,6 м²",ЖК «Клюква.Парк»,"29,6 м²",10,12,2028,Не сдан,Без отделки,Новостройка,"29,6 м²","2,72 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"4 просмотра, 1 за сегодня",,,,,,,,"10 пассажирских, 10 грузовых",,,Есть
"Продается студия, 27,6 м²",ЖК «FoRest Аквилон (Форест Аквилон)»,"27,6 м²",1,13,2022,Сдан,,Новостройка,"27,6 м²","2,72 м",,Монолитно-кирпичный,р-н Приморский,87к1,3,"Комендантский проспект, Старая Деревня, Беговая","7 мин., 9 мин., 12 мин.",Группа Аквилон,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"162 просмотра, нет за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 47,59 м²",ЖК «Квартал Заречье»,"47,59 м²",1,9,2026,Не сдан,,Новостройка,"47,59 м²","2,7 м",,Монолитный,р-н Колпинский,,3,"Рыбацкое, Пролетарская, Обухово","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"15 просмотров, нет за сегодня",,,,,,,,5 грузовых,,,Есть
"Продается 1-комн. квартира, 37,1 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"37,1 м²",2,5,2025,Не сдан,Чистовая,Новостройка,"37,1 м²","2,75 м",На улицу и двор,Монолитный,р-н Московский,5к2,3,"Звездная, Московская, Проспект Ветеранов","18 мин., 19 мин., 23 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2 просмотра, 2 за сегодня","14,2 м²",11 м²,"14,2 м²",11 м²,1 совмещенный,,Чистовая,1 грузовой,,,
"Продается 1-комн. квартира, 33,26 м²",ЖК «Бионика Заповедная»,"33,26 м²",1,12,2027,Не сдан,Чистовая,Новостройка,"33,26 м²","2,77 м",,Монолитно-кирпичный,р-н Приморский,20к1,3,"Проспект Просвещения, Озерки, Удельная","12 мин., 13 мин., 13 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"6 просмотров, нет за сегодня",10 м²,"15,3 м²",10 м²,"15,3 м²",,1 лоджия,Чистовая,"1 пассажирский, 1 грузовой",,,
"Продается 1-комн. квартира, 37,14 м²",ЖК «Речной квартал»,"37,14 м²",3,24,2028,Не сдан,Черновая,Новостройка,"37,14 м²","2,7 м",,Монолитный,р-н Невский,,3,"Ломоносовская, Пролетарская, Обухово","9 мин., 10 мин., 10 мин.",,,,,,,,False,"72 просмотра, 1 за сегодня",11 м²,"15,2 м²",11 м²,"15,2 м²",,,Черновая,"1 пассажирский, 1 грузовой",Подземная,Черновая,
"Продается 2-комн. квартира, 48,6 м²",ЖК «Цветной Город»,"48,6 м²",22,23,2026,Не сдан,Чистовая,Новостройка,"48,6 м²","2,55 м",На улицу и двор,Монолитный,р-н Красногвардейский,2,3,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"27 просмотров, 1 за сегодня","23,1 м²","15,1 м²","23,1 м²","15,1 м²",1 раздельный,1 лоджия,Чистовая,3 грузовых,,"Чистовая, Чистовая с мебелью",
"Продается 1-комн. квартира, 38,93 м²",ЖК «ЦДС Dreamline (Дримлайн)»,"38,93 м²",11,17,2027,Не сдан,,Новостройка,"38,93 м²",,,Монолитный,р-н Приморский,24,3,"Пионерская, Старая Деревня, Комендантский проспект","10 мин., 10 мин., 11 мин.",ЦДС,Комфорт,"Монолитный, кирпичный",Отдельная многоуровневая,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"436 просмотров, 6 за сегодня",,,,,,,,2 грузовых,,,
"Продается 1-комн. квартира, 39,11 м²",ЖК «Любоград»,"39,11 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"39,11 м²","2,77 м",,Монолитно-кирпичный,р-н Петродворцовый,,3,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 18 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"110 просмотров, 1 за сегодня","13,1 м²",17 м²,"13,1 м²",17 м²,,,Чистовая,6 пассажирских,,,
"Продается 1-комн. квартира, 35,22 м²",ЖК «GloraX Парголово (Глоракс Парголово)»,"35,22 м²",14,15,2026,Не сдан,Нет информации,Новостройка,"35,22 м²","2,6 м",,Монолитный,р-н Выборгский,8к1,3,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 13 мин.",GloraX,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"69 просмотров, нет за сегодня","11,3 м²","14,4 м²","11,3 м²","14,4 м²",,,Нет информации,,,"Чистовая, Черновая",
"Продается 1-комн. квартира, 34,22 м²",ЖК «Бионика Заповедная»,"34,22 м²",1,12,2027,Не сдан,Чистовая,Новостройка,"34,22 м²","2,77 м",,Монолитно-кирпичный,р-н Приморский,16к2,3,"Проспект Просвещения, Озерки, Удельная","12 мин., 13 мин., 13 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"7 просмотров, 2 за сегодня","10,5 м²",15 м²,"10,5 м²",15 м²,,1 лоджия,Чистовая,"1 пассажирский, 1 грузовой",,,
"Продается студия, 23,39 м²",ЖК «Аурум»,"23,39 м²",2,15,2029,Не сдан,,Новостройка,"23,39 м²","2,74 м",,Монолитно-кирпичный,р-н Калининский,,3,"Лесная, Площадь Ленина, Выборгская","5 мин., 6 мин., 7 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"5 просмотров, нет за сегодня",,,,,,,,6 пассажирских,,,Есть
"Продается 1-комн. квартира, 33,88 м²",ЖК «Бионика Заповедная»,"33,88 м²",1,12,2027,Не сдан,Чистовая,Новостройка,"33,88 м²","2,77 м",,Монолитно-кирпичный,р-н Приморский,20к1,3,"Проспект Просвещения, Озерки, Удельная","12 мин., 13 мин., 13 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"12 просмотров, нет за сегодня","10,1 м²","15,4 м²","10,1 м²","15,4 м²",,1 лоджия,Чистовая,"1 пассажирский, 1 грузовой",,,
"Продается 1-комн. квартира, 34,17 м²",ЖК «Бионика Заповедная»,"34,17 м²",1,12,2027,Не сдан,Чистовая,Новостройка,"34,17 м²","2,77 м",,Монолитно-кирпичный,р-н Приморский,18к1,3,"Проспект Просвещения, Озерки, Удельная","12 мин., 13 мин., 13 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"27 просмотров, 2 за сегодня","10,6 м²",15 м²,"10,6 м²",15 м²,,1 лоджия,Чистовая,"1 пассажирский, 1 грузовой",,,
"Продается студия, 22,2 м²",ЖК «Квартал бизнес-класса Б15»,"22,2 м²",15,17,2026,Не сдан,С отделкой,Новостройка,"22,2 м²","2,73 м",,Монолитно-кирпичный,р-н Калининский,Б15 жилой квартал,3,"Лесная, Выборгская, Площадь Ленина","5 мин., 7 мин., 7 мин.",КВС,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"686 просмотров, 2 за сегодня","10,1 м²",,"10,1 м²",,,,С отделкой,"11 пассажирских, 11 грузовых",,"Чистовая, Предчистовая",
"Продается 2-комн. квартира, 56,27 м²",ЖК «UP-квартал Новый Московский»,"56,27 м²",10,10,2025,Сдан,Без отделки,Новостройка,"56,27 м²",,На улицу и двор,Монолитно-кирпичный,р-н Пушкинский,325к1,3,"Шушары, Звездная, Дунайская","16 мин., 21 мин., 21 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"166 просмотров, 20 за сегодня","26,7 м²","14,7 м²","26,7 м²","14,7 м²",,,Без отделки,"1 пассажирский, 1 грузовой",,"Чистовая, Черновая, Без отделки",Есть
"Продается 2-комн. квартира, 54,93 м²",ЖК «UP-квартал Новый Московский»,"54,93 м²",4,10,2025,Сдан,Без отделки,Новостройка,"54,93 м²","3,3 м",На улицу и двор,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Шушары, Звездная","21 мин., 16 мин., 17 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"4003 просмотра, 4 за сегодня","24,7 м²","18,5 м²","24,7 м²","18,5 м²",,,Без отделки,"1 пассажирский, 1 грузовой",,"Чистовая, Черновая, Без отделки",Есть
"Продается 2-комн. квартира, 56,93 м²",ЖК «UP-квартал Новый Московский»,"56,93 м²",4,10,2025,Сдан,Без отделки,Новостройка,"56,93 м²","2,7 м",На улицу и двор,Монолитно-кирпичный,р-н Пушкинский,329к1,3,"Купчино, Шушары, Дунайская","22 мин., 16 мин., 21 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"324 просмотра, 1 за сегодня",29 м²,"14,9 м²",29 м²,"14,9 м²",,,Без отделки,"1 пассажирский, 1 грузовой",,"Чистовая, Черновая, Без отделки",Есть
"Продается 1-комн. квартира, 34,8 м²",ЖК «Юнтолово»,"34,8 м²",2,23,2025,Сдан,Чистовая,Новостройка,"34,8 м²","2,76 м",На улицу и двор,Монолитный,р-н Приморский,5к1,3,"Беговая, Старая Деревня, Черная речка","13 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"38 просмотров, 5 за сегодня","10,1 м²","15,9 м²","10,1 м²","15,9 м²",,1 лоджия,Чистовая,2 грузовых,,"Чистовая, Предчистовая",Есть
"Продается 1-комн. квартира, 35,88 м²",ЖК «Любоград»,"35,88 м²",3,4,2025,Сдан,Чистовая,Новостройка,"35,88 м²","2,77 м",,Монолитный,р-н Петродворцовый,26к5,3,"Ленинский проспект, Проспект Ветеранов, Автово","16 мин., 18 мин., 18 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"154 просмотра, 1 за сегодня","13,6 м²","12,4 м²","13,6 м²","12,4 м²",,,Чистовая,8 пассажирских,,,
"Продается 2-комн. квартира, 54,36 м²",ЖК «Аэросити Club (Аэросити Клаб)»,"54,36 м²",5,12,2026,Не сдан,,Новостройка,"54,36 м²","2,72 м",,Монолитный,р-н Пушкинский,,3,"Купчино, Звездная, Московская","8 мин., 8 мин., 11 мин.",ГК Лидер Групп,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,True,"157 просмотров, 3 за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 34,67 м²",ЖК «Любоград»,"34,67 м²",3,4,2025,Сдан,Чистовая,Новостройка,"34,67 м²","2,77 м",,Монолитный,р-н Петродворцовый,26к7,3,"Ленинский проспект, Проспект Ветеранов, Автово","17 мин., 19 мин., 19 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"157 просмотров, 1 за сегодня","11,7 м²","14,5 м²","11,7 м²","14,5 м²",,,Чистовая,8 пассажирских,,,
"Продается 2-комн. квартира, 58,66 м²",ЖК «Аэросити Club (Аэросити Клаб)»,"58,66 м²",6,12,2026,Не сдан,,Новостройка,"58,66 м²","2,72 м",,Монолитный,Шушары поселок,,3,"Купчино, Звездная, Московская","8 мин., 8 мин., 11 мин.",,,,,,,,False,"6 просмотров, нет за сегодня",,,,,,,,,,,
"Продается 2-комн. квартира, 49,92 м²",ЖК «Город-спутник Южный»,"49,92 м²",5,10,2027,Не сдан,Чистовая,Новостройка,"49,92 м²","2,7 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Московская, Проспект Ветеранов, Звездная","30 мин., 32 мин., 28 мин.",ЗАСТРОЙ,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Архитектура, Входная группа, Лифт",,False,"45 просмотров, 2 за сегодня",,,,,,,Чистовая,4 пассажирских,,,
"Продается 2-комн. квартира, 53,4 м²",ЖК «Цветной Город»,"53,4 м²",2,21,2026,Не сдан,Чистовая,Новостройка,"53,4 м²","2,55 м",Во двор,Монолитный,р-н Красногвардейский,,3,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"25 просмотров, 4 за сегодня","24,3 м²","12,2 м²","24,3 м²","12,2 м²",1 раздельный,,Чистовая,1 грузовой,,"Чистовая, Чистовая с мебелью",
"Продается 1-комн. квартира, 36,4 м²",ЖК «Пулково Лейк»,"36,4 м²",2,4,2026,Не сдан,Чистовая,Новостройка,"36,4 м²","2,6 м",Во двор,Панельный,р-н Пушкинский,,3,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"261 просмотр, 15 за сегодня",11 м²,"17,4 м²",11 м²,"17,4 м²",1 совмещенный,,Чистовая,"12 пассажирских, 1 грузовой",,,
"Продается студия, 23,2 м²",ЖК «ЛСР. Большая Охта»,"23,2 м²",2,12,2025,Не сдан,Предчистовая,Новостройка,"23,2 м²","2,7 м",Во двор,Монолитный,р-н Красногвардейский,5,3,"Ладожская, Новочеркасская, Чернышевская","4 мин., 4 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"162 просмотра, нет за сегодня","10,2 м²",,"10,2 м²",,1 совмещенный,,Предчистовая,"1 пассажирский, 1 грузовой",Подземная,,
