title,residential_complex,char_total_area,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_высота_потолков,char_flat_вид_из_окон,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_living_area,char_площадь кухни,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_санузел,char_flat_балкон/лоджия,char_flat_отделка,char_building_количество_лифтов,char_building_парковка,hc_decoration_options,char_building_пандус
"Продается 1-комн. квартира, 41,5 м²",ЖК «Юнтолово»,"41,5 м²",14,23,2025,Сдан,Чистовая,Новостройка,"41,5 м²","2,76 м",На улицу и двор,Монолитный,р-н Приморский,5к2,3,"Беговая, Старая Деревня, Черная речка","13 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"37 просмотров, 2 за сегодня","10,7 м²","19,4 м²","10,7 м²","19,4 м²",,2 лоджии,Чистовая,"4 пассажирских, 6 грузовых",,"Чистовая, Предчистовая",Есть
"Продается 1-комн. квартира, 32,8 м²",ЖК «Клюква.Парк»,"32,8 м²",2,12,2028,Не сдан,Без отделки,Новостройка,"32,8 м²","2,72 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"2 просмотра, нет за сегодня",,,,,,,,"10 пассажирских, 10 грузовых",,,Есть
"Продается 1-комн. квартира, 41,4 м²",ЖК «Юнтолово»,"41,4 м²",21,23,2025,Сдан,Чистовая,Новостройка,"41,4 м²","2,76 м",На улицу и двор,Монолитный,р-н Приморский,5к2,3,"Беговая, Старая Деревня, Черная речка","13 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"191 просмотр, 12 за сегодня","10,7 м²","19,4 м²","10,7 м²","19,4 м²",,2 лоджии,Чистовая,"4 пассажирских, 6 грузовых",,"Чистовая, Предчистовая",Есть
"Продается 1-комн. квартира, 46,3 м²",ЖК «Образцовый квартал 17»,"46,3 м²",1,4,2026,Не сдан,Предчистовая,Новостройка,"46,3 м²","2,87 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Звездная, Проспект Ветеранов","20 мин., 21 мин., 21 мин.",,,,,,,,True,"10 просмотров, нет за сегодня",18 м²,"15,6 м²",18 м²,"15,6 м²",1 совмещенный,1 балкон,Предчистовая,1 пассажирский,Наземная,,
"Продается 1-комн. квартира, 46,49 м²",ЖК «Образцовый квартал 6.4»,"46,49 м²",1,4,2028,Не сдан,Предчистовая,Новостройка,"46,49 м²","2,87 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Звездная, Проспект Ветеранов","20 мин., 21 мин., 22 мин.",,,,,,,,True,"4 просмотра, нет за сегодня","17,4 м²","12,3 м²","17,4 м²","12,3 м²",1 совмещенный,1 балкон,Предчистовая,1 пассажирский,Наземная,,
"Продается 2-комн. квартира, 61,18 м²",ЖК «Аэросити Club (Аэросити Клаб)»,"61,18 м²",2,12,2026,Не сдан,,Новостройка,"61,18 м²","2,72 м",,Монолитный,р-н Пушкинский,,3,"Купчино, Звездная, Московская","8 мин., 8 мин., 11 мин.",ГК Лидер Групп,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,True,"265 просмотров, нет за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 37 м²",ЖК «Октябрьская набережная»,37 м²,2,25,2027,Не сдан,Чистовая,Новостройка,37 м²,"2,56 м",Во двор,Монолитный,р-н Невский,,3,"Ломоносовская, Пролетарская, Улица Дыбенко","6 мин., 7 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"29 просмотров, 4 за сегодня","13,4 м²","16,4 м²","13,4 м²","16,4 м²",1 совмещенный,,Чистовая,"1 пассажирский, 1 грузовой",,,
"Продается 2-комн. квартира, 42 м²",ЖК «Цветной Город»,42 м²,23,25,2025,Не сдан,Чистовая,Новостройка,42 м²,"2,56 м",Во двор,Монолитный,р-н Красногвардейский,,3,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"29 просмотров, 3 за сегодня","22,1 м²","13,3 м²","22,1 м²","13,3 м²",1 совмещенный,1 лоджия,Чистовая,"1 пассажирский, 1 грузовой",Наземная,"Чистовая, Чистовая с мебелью",
"Продается 2-комн. квартира, 45,5 м²",ЖК «Цветной Город»,"45,5 м²",4,25,2025,Не сдан,Чистовая,Новостройка,"45,5 м²","2,57 м",Во двор,Монолитный,р-н Красногвардейский,,3,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"282 просмотра, 1 за сегодня","27,4 м²","9,9 м²","27,4 м²","9,9 м²",1 раздельный,,Чистовая,"1 пассажирский, 1 грузовой",Наземная,"Чистовая, Чистовая с мебелью",
"Продается 2-комн. квартира, 51 м²",ЖК «Пейзажный квартал»,51 м²,8,22,2026,Не сдан,Чистовая,Новостройка,51 м²,"2,55 м",Во двор,Панельный,р-н Красногвардейский,,3,"Академическая, Девяткино, Гражданский проспект","14 мин., 9 мин., 13 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура",,True,"335 просмотров, 7 за сегодня","23,1 м²","17,9 м²","23,1 м²","17,9 м²",1 раздельный,,Чистовая,"1 пассажирский, 1 грузовой",Наземная,,
"Продается 1-комн. квартира, 34,2 м²",ЖК «Академик»,"34,2 м²",5,12,2025,Не сдан,Без отделки,Новостройка,"34,2 м²",3 м,,Монолитно-кирпичный,р-н Красногвардейский,,3,"Девяткино, Академическая, Гражданский проспект","9 мин., 12 мин., 12 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,True,"164 просмотра, 3 за сегодня","13,2 м²","12,9 м²","13,2 м²","12,9 м²",1 совмещенный,,,,Подземная,,
"Продается 1-комн. квартира, 33,31 м²",ЖК «Кинопарк»,"33,31 м²",1,9,2028,Не сдан,Без отделки,Новостройка,"33,31 м²",3 м,На улицу,Монолитно-кирпичный,р-н Красносельский,,3,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","9 мин., 11 мин., 11 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,"Монолитно-кирпичный, монолитный","Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"76 просмотров, 1 за сегодня","13,8 м²",11 м²,"13,8 м²",11 м²,1 совмещенный,,,,,,Есть
