title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_балкон/лоджия,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_building_парковка,char_building_пандус,hc_decoration_options
"Продается 1-комн. квартира, 42,9 м²",ЖК «Пулково Лейк»,"42,9 м²","11,4 м²","17,4 м²",1,4,2026,Не сдан,Чистовая,Новостройка,"42,9 м²","11,4 м²","17,4 м²","2,6 м",1 совмещенный,,Во двор,Чистовая,"1 пассажирский, 8 грузовых",Панельный,р-н Пушкинский,,3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"90 просмотров, 1 за сегодня",Подземная,,
"Продается 1-комн. квартира, 42,89 м²",ЖК «Речной квартал»,"42,89 м²","16,7 м²","14,8 м²",3,24,2028,Не сдан,Черновая,Новостройка,"42,89 м²","16,7 м²","14,8 м²","2,7 м",,,,Черновая,"1 пассажирский, 1 грузовой",Монолитный,р-н Невский,,3.0,"Ломоносовская, Пролетарская, Обухово","9 мин., 10 мин., 10 мин.",,,,,,,,False,"22 просмотра, нет за сегодня",Подземная,,Черновая
"Продается 1-комн. квартира, 35,01 м²",ЖК «Кинопарк»,"35,01 м²","13,6 м²","10,2 м²",2,9,2028,Не сдан,Без отделки,Новостройка,"35,01 м²","13,6 м²","10,2 м²",3 м,1 совмещенный,,На улицу,,14 пассажирских,Монолитно-кирпичный,р-н Красносельский,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","9 мин., 11 мин., 11 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,"Монолитно-кирпичный, монолитный","Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"107 просмотров, нет за сегодня",,Есть,
"Продается 1-комн. квартира, 41,93 м²",ЖК «ЦДС Dreamline (Дримлайн)»,"41,93 м²",,,3,17,2027,Не сдан,,Новостройка,"41,93 м²",,,,,,,,2 грузовых,Монолитный,р-н Приморский,24,3.0,"Комендантский проспект, Пионерская, Старая Деревня","7 мин., 10 мин., 10 мин.",ЦДС,Комфорт,"Монолитный, кирпичный",Отдельная многоуровневая,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"8 просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 61,42 м²",ЖК «UP-квартал Новый Московский»,"61,42 м²","29,4 м²","16,5 м²",4,10,2025,Сдан,Без отделки,Новостройка,"61,42 м²","29,4 м²","16,5 м²","2,7 м",,,На улицу и двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,р-н Пушкинский,329к1,3.0,"Купчино, Шушары, Дунайская","22 мин., 16 мин., 21 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"6 просмотров, 1 за сегодня",,Есть,"Чистовая, Черновая, Без отделки"
"Продается 1-комн. квартира, 39,76 м²",ЖК «Кронфорт.Центральный»,"39,76 м²","15,4 м²","12,6 м²",1,4,2026,Не сдан,Предчистовая,Новостройка,"39,76 м²","15,4 м²","12,6 м²","3,04 м",,,На улицу и двор,Предчистовая,,Монолитный,р-н Кронштадтский,,,,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"234 просмотра, 3 за сегодня",Подземная,,"Чистовая, Предчистовая, Без отделки"
"Продается 2-комн. квартира, 56,3 м²",ЖК «Аэросити 5»,"56,3 м²",,,12,12,2025,Сдан,,Новостройка,"56,3 м²",,,"2,72 м",,,,,2 пассажирских,Монолитный,р-н Пушкинский,3к2,3.0,"Купчино, Звездная, Шушары","11 мин., 11 мин., 14 мин.",ГК Лидер Групп,Комфорт,Монолитный,Подземная,Жилой комплекс,"Внутренний двор, Архитектура",,False,"117 просмотров, 7 за сегодня",Подземная,,
"Продается 1-комн. квартира, 38,4 м²",ЖК «Академик»,"38,4 м²","14,1 м²","11,6 м²",5,12,2025,Сдан,Без отделки,Новостройка,"38,4 м²","14,1 м²","11,6 м²",3 м,,,,,,Монолитно-кирпичный,Пискаревский просп.,,3.0,"Девяткино, Академическая, Гражданский проспект","8 мин., 11 мин., 11 мин.",,,,,,,,False,"237 просмотров, 2 за сегодня",Подземная,Есть,
"Продается 1-комн. квартира, 46,9 м²",ЖК «Юнтолово»,"46,9 м²","15,1 м²","19,7 м²",2,23,2025,Сдан,Чистовая,Новостройка,"46,9 м²","15,1 м²","19,7 м²","2,76 м",,1 лоджия,На улицу и двор,Чистовая,"4 пассажирских, 6 грузовых",Монолитный,р-н Приморский,5к2,3.0,"Беговая, Старая Деревня, Черная речка","13 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"38 просмотров, 4 за сегодня",,Есть,"Чистовая, Предчистовая"
"Продается студия, 30,4 м²",ЖК «Руднева 15»,"30,4 м²","19,4 м²",,8,13,2024,Сдан,Чистовая,Новостройка,"30,4 м²","19,4 м²",,"2,63 м",1 совмещенный,,Во двор,Чистовая,,Монолитный,р-н Выборгский,2к1,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 6 мин., 7 мин.",,,,,,,,False,"17 просмотров, нет за сегодня",,,
