title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_вид_из_окон,char_flat_отделка,char_building_тип_дома,char_building_парковка,district,building,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_decoration_options,hc_advantages,developer_description,online_booking,views,char_building_количество_лифтов,metro_count,metro_names,metro_times,char_flat_санузел,char_flat_балкон/лоджия,char_building_пандус
"Продается 2-комн. квартира, 119,21 м²",ЖК «Клубный дом Манхэттен»,"119,21 м²",,,2,7,2024,Сдан,Черновая,Новостройка,"119,21 м²",,,3 м,,Черновая,Монолитно-кирпичный,,р-н Василеостровский,50,Винтеко,Премиум,Монолитно-кирпичный,Подземная,Клубный дом,Черновая,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"703 просмотра, 7 за сегодня",,3.0,"Василеостровская, Горный институт, Спортивная","9 мин., 18 мин., 18 мин.",,,
"Продается 1-комн. квартира, 45,32 м²",ЖК «Коллекционный Дом 1919»,"45,32 м²",12 м²,,8,11,2025,Сдан,Предчистовая,Новостройка,"45,32 м²",12 м²,,3 м,,Предчистовая,Монолитный,,р-н Московский,3,Element,Премиум,Монолитный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"60 просмотров, 1 за сегодня",1 грузовой,3.0,"Московские ворота, Электросила, Фрунзенская","6 мин., 21 мин., 23 мин.",,,
"Продается студия, 23,62 м²",ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"23,62 м²","14,8 м²",,4,5,2024,Не сдан,Предчистовая,Новостройка,"23,62 м²","14,8 м²",,"2,65 м",,Предчистовая,Монолитный,,р-н Курортный,18,,,,,,"Чистовая, Предчистовая",,,True,"295 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Беговая, Комендантский проспект, Зенит","29 мин., 29 мин., 30 мин.",,,
"Продается 1-комн. квартира, 43 м²",ЖК «Прагма city»,43 м²,14 м²,"15,8 м²",21,23,2022,Сдан,Предчистовая,Новостройка,43 м²,14 м²,"15,8 м²","2,73 м",,Предчистовая,Монолитный,Наземная,р-н Выборгский,дор. Ольгинская,,,,,,"Чистовая, Предчистовая, Без отделки",,,False,"441 просмотр, 3 за сегодня","1 пассажирский, 2 грузовых",3.0,"Парнас, Проспект Просвещения, Озерки","19 мин., 7 мин., 9 мин.",1 совмещенный,1 балкон,
"Продается 2-комн. квартира, 65,17 м²",ЖК «Башни Элемент»,"65,17 м²","25,3 м²",,4,18,2028,Не сдан,Предчистовая,Новостройка,"65,17 м²","25,3 м²",,"3,01 м",,Предчистовая,Монолитный,,р-н Василеостровский,,Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа",,True,"145 просмотров, 1 за сегодня","10 пассажирских, 10 грузовых",3.0,"Приморская, Горный институт, Василеостровская","9 мин., 11 мин., 13 мин.",,,
"Продается 1-комн. квартира, 43,47 м²",ЖК «Сампсониевский 32»,"43,47 м²",,,8,10,2026,Не сдан,Предчистовая,Новостройка,"43,47 м²",,,"2,7 м",,Предчистовая,Монолитный,,р-н Выборгский,,LEGENDA Intelligent Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,,Архитектура,,False,"53 просмотра, 2 за сегодня","1 пассажирский, 1 грузовой",3.0,"Выборгская, Площадь Ленина, Петроградская","11 мин., 22 мин., 5 мин.",,,
"Продается 3-комн. квартира, 92,43 м²",ЖК «17 линия»,"92,43 м²","43,5 м²","20,3 м²",6,10,2028,Не сдан,Предчистовая,Новостройка,"92,43 м²","43,5 м²","20,3 м²","2,73 м",,Предчистовая,Монолитный,,р-н Василеостровский,6Б,,,,,,"Чистовая, Предчистовая",,,False,"85 просмотров, нет за сегодня",1 пассажирский,3.0,"Василеостровская, Приморская, Спортивная","22 мин., 21 мин., 23 мин.",2 совмещенных,2 балкона,
"Продается 1-комн. квартира, 44,84 м²",ЖК «17/33 Петровский остров»,"44,84 м²","13,9 м²",,6,8,2026,Не сдан,Без отделки,Новостройка,"44,84 м²","13,9 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"289 просмотров, 1 за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается 2-комн. квартира, 48,53 м²",ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"48,53 м²",17 м²,,4,5,2024,Не сдан,Предчистовая,Новостройка,"48,53 м²",17 м²,,"2,65 м",,Предчистовая,Монолитный,,р-н Курортный,18,,,,,,"Чистовая, Предчистовая",,,True,"190 просмотров, 2 за сегодня","1 пассажирский, 1 грузовой",3.0,"Беговая, Комендантский проспект, Зенит","30 мин., 29 мин., 30 мин.",,,
"Продается 2-комн. квартира, 67,96 м²",ЖК «17/33 Петровский остров»,"67,96 м²","26,5 м²",,2,8,2026,Не сдан,Без отделки,Новостройка,"67,96 м²","26,5 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"350 просмотров, нет за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
