title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_вид_из_окон,char_flat_отделка,char_building_тип_дома,char_building_парковка,district,building,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_decoration_options,hc_advantages,developer_description,online_booking,views,char_building_количество_лифтов,metro_count,metro_names,metro_times,char_flat_санузел,char_flat_балкон/лоджия,char_building_пандус
"Продается 2-комн. квартира, 48,41 м²",ЖК «Морская миля»,"48,41 м²",22 м²,"16,7 м²",2,23,2027,Не сдан,Чистовая,Новостройка,"48,41 м²",22 м²,"16,7 м²","2,55 м",Во двор,Чистовая,Монолитный,,р-н Красносельский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"1863 просмотра, 9 за сегодня","1 пассажирский, 1 грузовой",3.0,"Автово, Юго-Западная, Кировский завод","6 мин., 18 мин., 7 мин.",1 раздельный,,
"Продается 1-комн. квартира, 50,18 м²",ЖК «Башни Элемент»,"50,18 м²","13,7 м²",,5,18,2028,Не сдан,Предчистовая,Новостройка,"50,18 м²","13,7 м²",,"3,01 м",,Предчистовая,Монолитный,,р-н Василеостровский,,Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа",,True,"221 просмотр, 2 за сегодня","10 пассажирских, 10 грузовых",3.0,"Приморская, Горный институт, Василеостровская","9 мин., 11 мин., 13 мин.",,,
"Продается 2-комн. квартира, 58,1 м²",ЖК «Дыбенко Парк»,"58,1 м²",28 м²,16 м²,11,21,2027,Не сдан,Чистовая,Новостройка,"58,1 м²",28 м²,16 м²,"2,75 м",На улицу и двор,Чистовая,Монолитный,Многоуровневая,р-н Невский,38Б,ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"201 просмотр, 11 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Проспект Большевиков, Ломоносовская","16 мин., 7 мин., 9 мин.",,,
"Продается 4-комн. квартира, 147,2 м²",ЖК «Neva Haus (Нева Хаус)»,"147,2 м²","91,1 м²","21,3 м²",5,9,2024,Сдан,Без отделки,Новостройка,"147,2 м²","91,1 м²","21,3 м²",3 м,На улицу и двор,Без отделки,Монолитный,Подземная,р-н Петроградский,9к2,ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Подземная,Жилой комплекс,Без отделки,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"356 просмотров, нет за сегодня",1 пассажирский,3.0,"Крестовский остров, Василеостровская, Спортивная","25 мин., 5 мин., 6 мин.","2 совмещенных, 1 раздельный",,
"Продается 4-комн. квартира, 120,7 м²",ЖК «Северная Корона»,"120,7 м²","43,6 м²",22 м²,7,8,2023,Сдан,Без отделки,Новостройка,"120,7 м²","43,6 м²",22 м²,3 м,На улицу и двор,Без отделки,Монолитный,,р-н Петроградский,31к1,ГК ПСК,Бизнес,Монолитный,Подземная,Жилой комплекс,Без отделки,Архитектура,,True,"2260 просмотров, нет за сегодня",1 грузовой,3.0,"Горьковская, Петроградская, Чкаловская","24 мин., 8 мин., 19 мин.","3 совмещенных, 1 раздельный",1 балкон,
"Продается студия, 21,6 м²",ЖК «Дыбенко Парк»,"21,6 м²",11 м²,,2,22,2027,Не сдан,Чистовая,Новостройка,"21,6 м²",11 м²,,"2,75 м",На улицу и двор,Чистовая,Монолитный,Многоуровневая,р-н Невский,38Б,ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"746 просмотров, 4 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Проспект Большевиков, Ломоносовская","16 мин., 7 мин., 9 мин.",1 совмещенный,,
"Продается 3-комн. квартира, 97,68 м²",ЖК «Ранта Резиденс (Ranta Residence)»,"97,68 м²","40,7 м²",,4,4,2026,Не сдан,Предчистовая,Новостройка,"97,68 м²","40,7 м²",,3 м,Во двор,Предчистовая,Монолитно-кирпичный,,р-н Курортный,,LAR Development,Бизнес,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"427 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",,,,3 совмещенных,1 лоджия,
"Продается 2-комн. квартира, 119,8 м²",ЖК «Клубный дом Манхэттен»,"119,8 м²",,,4,7,2024,Сдан,Черновая,Новостройка,"119,8 м²",,,3 м,,Черновая,Монолитно-кирпичный,,р-н Василеостровский,50,Винтеко,Премиум,Монолитно-кирпичный,Подземная,Клубный дом,Черновая,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2092 просмотра, 1 за сегодня",,3.0,"Василеостровская, Горный институт, Спортивная","9 мин., 18 мин., 18 мин.",,,
"Продается студия, 29,12 м²",ЖК «Коллекционный Дом 1919»,"29,12 м²","19,1 м²",,8,11,2025,Сдан,Предчистовая,Новостройка,"29,12 м²","19,1 м²",,3 м,,Предчистовая,Монолитный,,р-н Московский,3,Element,Премиум,Монолитный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"83 просмотра, 1 за сегодня",1 грузовой,3.0,"Московские ворота, Электросила, Фрунзенская","6 мин., 21 мин., 23 мин.",,,
"Продается 4-комн. квартира, 119,8 м²",ЖК «Лермонтовский 54»,"119,8 м²","48,4 м²","34,4 м²",9,9,2025,Не сдан,Без отделки,Новостройка,"119,8 м²","48,4 м²","34,4 м²",3 м,На улицу,Без отделки,Монолитный,Открытая,р-н Адмиралтейский,169,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"871 просмотр, 2 за сегодня","1 пассажирский, 1 грузовой",3.0,"Балтийская, Фрунзенская, Технологический институт","4 мин., 17 мин., 23 мин.",3 совмещенных,1 балкон,
"Продается 2-комн. квартира, 59,18 м²",ЖК «НОВАЯ ЗЕМЛЯ»,"59,18 м²","21,1 м²",22 м²,2,15,2028,Не сдан,Предчистовая,Новостройка,"59,18 м²","21,1 м²",22 м²,"2,85 м",Во двор,Предчистовая,Монолитный,,р-н Василеостровский,,LEGENDA Intelligent Development,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Парковка, Архитектура, Входная группа",,False,"77 просмотров, 3 за сегодня","2 пассажирских, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","15 мин., 13 мин., 15 мин.",1 раздельный,,Есть
"Продается 1-комн. квартира, 37,57 м²",ЖК «Ранта Резиденс (Ranta Residence)»,"37,57 м²",11 м²,12 м²,2,4,2026,Не сдан,Предчистовая,Новостройка,"37,57 м²",11 м²,12 м²,3 м,Во двор,Предчистовая,Монолитно-кирпичный,,р-н Курортный,,LAR Development,Бизнес,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"751 просмотр, 5 за сегодня","1 пассажирский, 1 грузовой",,,,1 совмещенный,1 лоджия,
"Продается 1-комн. квартира, 31,9 м²",ЖК «Витебский парк»,"31,9 м²","9,4 м²","15,8 м²",5,12,2028,Не сдан,Предчистовая,Новостройка,"31,9 м²","9,4 м²","15,8 м²","2,68 м",На улицу,Предчистовая,Монолитный,Открытая,р-н Фрунзенский,,ПИК,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Парковка, Внутренний двор, Входная группа, Лифт",,True,"595 просмотров, 1 за сегодня",2 пассажирских,3.0,"Волковская, Обводный канал, Бухарестская","23 мин., 7 мин., 7 мин.",1 совмещенный,,
"Продается 3-комн. квартира, 123,6 м²",ЖК «Моисеенко 10»,"123,6 м²","55,4 м²",,5,6,2028,Не сдан,Без отделки,Новостройка,"123,6 м²","55,4 м²",,"3,2 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Центральный,,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"1113 просмотров, 4 за сегодня",4 пассажирских,3.0,"Площадь Восстания, Чернышевская, Площадь Александра Невского","22 мин., 5 мин., 5 мин.",,,Есть
"Продается студия, 21,2 м²",ЖК «Октябрьская набережная»,"21,2 м²","10,2 м²",,3,25,2027,Не сдан,Чистовая,Новостройка,"21,2 м²","10,2 м²",,"2,56 м",Во двор,Чистовая,Монолитный,,р-н Невский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"107 просмотров, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Ломоносовская, Улица Дыбенко, Пролетарская","7 мин., 8 мин., 8 мин.",1 совмещенный,,
"Продается 3-комн. квартира, 85,11 м²",ЖК «Ранта Резиденс (Ranta Residence)»,"85,11 м²","40,5 м²",,4,4,2026,Не сдан,Предчистовая,Новостройка,"85,11 м²","40,5 м²",,,Во двор,Предчистовая,Монолитно-кирпичный,,р-н Курортный,,LAR Development,Бизнес,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"121 просмотр, нет за сегодня","3 пассажирских, 3 грузовых",,,,,"1 лоджия, 1 балкон",
"Продается 2-комн. квартира, 56,85 м²",ЖК «Дом на Курской»,"56,85 м²","28,8 м²",12 м²,2,10,2028,Не сдан,Предчистовая,Новостройка,"56,85 м²","28,8 м²",12 м²,"2,73 м",,Предчистовая,Монолитно-кирпичный,,р-н Фрунзенский,27,,,,,,,,,True,"1055 просмотров, 4 за сегодня",8 пассажирских,3.0,"Обводный канал, Лиговский проспект, Звенигородская","8 мин., 16 мин., 24 мин.",,,
"Продается 1-комн. квартира, 40,19 м²",ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"40,19 м²","17,6 м²",,5,5,2024,Не сдан,Предчистовая,Новостройка,"40,19 м²","17,6 м²",,"2,65 м",,Предчистовая,Монолитный,,р-н Курортный,18,,,,,,"Чистовая, Предчистовая",,,True,"416 просмотров, 4 за сегодня","1 пассажирский, 1 грузовой",3.0,"Беговая, Комендантский проспект, Зенит","30 мин., 29 мин., 30 мин.",,,
"Продается 1-комн. квартира, 38,62 м²",ЖК «НОВАЯ ЗЕМЛЯ»,"38,62 м²",10 м²,"17,2 м²",4,17,2028,Не сдан,Предчистовая,Новостройка,"38,62 м²",10 м²,"17,2 м²","2,85 м",Во двор,Предчистовая,Монолитный,,р-н Василеостровский,,LEGENDA Intelligent Development,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Парковка, Архитектура, Входная группа",,False,"323 просмотра, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Приморская, Горный институт, Василеостровская","11 мин., 13 мин., 15 мин.",1 совмещенный,,Есть
"Продается 1-комн. квартира, 81,6 м²",ЖК «Клубный дом Манхэттен»,"81,6 м²",,,4,7,2024,Сдан,Черновая,Новостройка,"81,6 м²",,,3 м,,Черновая,Монолитно-кирпичный,,р-н Василеостровский,50,Винтеко,Премиум,Монолитно-кирпичный,Подземная,Клубный дом,Черновая,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"4832 просмотра, 10 за сегодня",,3.0,"Василеостровская, Горный институт, Спортивная","9 мин., 18 мин., 18 мин.",,,
"Продается 2-комн. квартира, 47,01 м²",ЖК «Башни Элемент»,"47,01 м²","21,2 м²",,4,22,2028,Не сдан,Предчистовая,Новостройка,"47,01 м²","21,2 м²",,"2,85 м",,Предчистовая,Монолитный,,р-н Василеостровский,,Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа",,True,"1005 просмотров, 6 за сегодня","10 пассажирских, 10 грузовых",3.0,"Приморская, Горный институт, Василеостровская","10 мин., 13 мин., 14 мин.",,,
"Продается 1-комн. квартира, 37,7 м²",ЖК «Шкиперский 19»,"37,7 м²","12,4 м²","17,6 м²",2,12,2027,Не сдан,Без отделки,Новостройка,"37,7 м²","12,4 м²","17,6 м²","2,82 м",На улицу,Без отделки,Монолитный,Открытая,р-н Василеостровский,к2,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"70 просмотров, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","5 мин., 5 мин., 7 мин.",1 совмещенный,,
"Продается 1-комн. квартира, 44,2 м²",ЖК «Сампсониевский 32»,"44,2 м²","11,6 м²","21,7 м²",1,10,2026,Не сдан,Предчистовая,Новостройка,"44,2 м²","11,6 м²","21,7 м²","2,7 м",Во двор,Предчистовая,Монолитный,,р-н Выборгский,,LEGENDA Intelligent Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,,Архитектура,,False,"218 просмотров, 8 за сегодня","1 пассажирский, 1 грузовой",3.0,"Выборгская, Площадь Ленина, Петроградская","11 мин., 22 мин., 5 мин.",1 совмещенный,1 балкон,
"Продается 3-комн. квартира, 84,7 м²",ЖК «Витебский парк»,"84,7 м²","33,3 м²",24 м²,3,12,2028,Не сдан,Предчистовая,Новостройка,"84,7 м²","33,3 м²",24 м²,"2,68 м",На улицу,Предчистовая,Монолитный,Открытая,р-н Фрунзенский,,ПИК,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Парковка, Внутренний двор, Входная группа, Лифт",,True,"460 просмотров, 4 за сегодня",2 пассажирских,3.0,"Волковская, Обводный канал, Бухарестская","23 мин., 7 мин., 7 мин.",2 совмещенных,1 балкон,
"Продается 3-комн. квартира, 70,1 м²",ЖК «ЛСР. Большая Охта»,"70,1 м²","38,6 м²","14,8 м²",3,10,2027,Не сдан,Предчистовая,Новостройка,"70,1 м²","38,6 м²","14,8 м²","2,72 м",На улицу и двор,Предчистовая,Монолитный,,р-н Красногвардейский,8к2,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"592 просмотра, 4 за сегодня","1 пассажирский, 1 грузовой",3.0,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",2 совмещенных,,
"Продается 3-комн. квартира, 118,7 м²",ЖК «Neva Haus (Нева Хаус)»,"118,7 м²","52,2 м²","15,4 м²",8,9,2021,Сдан,Без отделки,Новостройка,"118,7 м²","52,2 м²","15,4 м²","3,07 м",Во двор,Без отделки,Монолитный,Подземная,р-н Петроградский,11к2,ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Подземная,Жилой комплекс,Без отделки,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"1318 просмотров, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Крестовский остров, Чкаловская, Спортивная","18 мин., 4 мин., 5 мин.","2 совмещенных, 1 раздельный",1 лоджия,
"Продается 4-комн. квартира, 95,75 м²",ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"95,75 м²","44,1 м²",,1,5,2024,Не сдан,Предчистовая,Новостройка,"95,75 м²","44,1 м²",,"2,65 м",,Предчистовая,Монолитный,,р-н Курортный,18,,,,,,"Чистовая, Предчистовая",,,True,"1375 просмотров, 2 за сегодня","1 пассажирский, 1 грузовой",3.0,"Беговая, Комендантский проспект, Зенит","30 мин., 29 мин., 30 мин.",,,
"Продается 3-комн. квартира, 77,62 м²",ЖК «Цивилизация на Неве»,"77,62 м²","42,1 м²","20,7 м²",2,18,2027,Не сдан,Предчистовая,Новостройка,"77,62 м²","42,1 м²","20,7 м²","2,82 м",На улицу и двор,Предчистовая,Монолитный,,р-н Невский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"850 просмотров, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","7 мин., 7 мин., 7 мин.",1 раздельный,,Есть
"Продается 1-комн. квартира, 35,8 м²",ЖК «ЛСР. Большая Охта»,"35,8 м²","11,2 м²","17,2 м²",2,10,2027,Не сдан,Предчистовая,Новостройка,"35,8 м²","11,2 м²","17,2 м²","2,72 м",Во двор,Предчистовая,Монолитный,,р-н Красногвардейский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"48 просмотров, 3 за сегодня",8 грузовых,3.0,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",1 совмещенный,,
"Продается 1-комн. квартира, 31,65 м²",ЖК «НОВАЯ ЗЕМЛЯ»,"31,65 м²","9,8 м²",16 м²,2,22,2028,Не сдан,Предчистовая,Новостройка,"31,65 м²","9,8 м²",16 м²,"2,85 м",Во двор,Предчистовая,Монолитный,,р-н Василеостровский,,LEGENDA Intelligent Development,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Парковка, Архитектура, Входная группа",,False,"210 просмотров, 9 за сегодня","2 пассажирских, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","14 мин., 13 мин., 15 мин.",1 совмещенный,,Есть
"Продается 1-комн. квартира, 51,8 м²",ЖК «Neva Haus (Нева Хаус)»,"51,8 м²","16,3 м²","21,3 м²",8,9,2024,Сдан,Без отделки,Новостройка,"51,8 м²","16,3 м²","21,3 м²",3 м,Во двор,Без отделки,Монолитный,Подземная,р-н Петроградский,9к2,ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Подземная,Жилой комплекс,Без отделки,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"409 просмотров, 3 за сегодня",1 пассажирский,3.0,"Крестовский остров, Чкаловская, Спортивная","25 мин., 21 мин., 22 мин.",1 раздельный,,
"Продается 3-комн. квартира, 78,65 м²",ЖК «Дом на Курской»,"78,65 м²","39,1 м²","18,2 м²",2,10,2028,Не сдан,Предчистовая,Новостройка,"78,65 м²","39,1 м²","18,2 м²","2,73 м",,Предчистовая,Монолитно-кирпичный,,р-н Фрунзенский,27,,,,,,,,,True,"719 просмотров, нет за сегодня",8 пассажирских,3.0,"Обводный канал, Лиговский проспект, Звенигородская","8 мин., 16 мин., 24 мин.",,,
"Продается 4-комн. квартира, 185,28 м²",ЖК «Клубный дом Манхэттен»,"185,28 м²",,,2,7,2024,Сдан,Черновая,Новостройка,"185,28 м²",,,3 м,,Черновая,Монолитно-кирпичный,,р-н Василеостровский,50,Винтеко,Премиум,Монолитно-кирпичный,Подземная,Клубный дом,Черновая,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1082 просмотра, 8 за сегодня",,3.0,"Василеостровская, Горный институт, Спортивная","9 мин., 18 мин., 18 мин.",,,
"Продается 1-комн. квартира, 34,85 м²",ЖК «Юнтолово»,"34,85 м²","10,3 м²","15,2 м²",3,23,2026,Не сдан,Чистовая,Новостройка,"34,85 м²","10,3 м²","15,2 м²",,На улицу и двор,Чистовая,Монолитный,,р-н Приморский,1к4,Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Чистовая, Предчистовая",Отделка,,True,"7388 просмотров, 1 за сегодня",1 грузовой,3.0,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",,1 лоджия,Есть
"Продается 2-комн. квартира, 55,5 м²",ЖК «ЛСР. Большая Охта»,"55,5 м²","25,2 м²","17,1 м²",3,12,2026,Не сдан,Предчистовая,Новостройка,"55,5 м²","25,2 м²","17,1 м²","2,8 м",На улицу и двор,Предчистовая,Монолитный,,р-н Красногвардейский,3В,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"1098 просмотров, 4 за сегодня","1 пассажирский, 1 грузовой",3.0,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",2 совмещенных,,
"Продается 1-комн. квартира, 86,4 м²",ЖК «Клубный дом Манхэттен»,"86,4 м²",,,5,7,2024,Сдан,Черновая,Новостройка,"86,4 м²",,,3 м,,Черновая,Монолитно-кирпичный,,р-н Василеостровский,50,Винтеко,Премиум,Монолитно-кирпичный,Подземная,Клубный дом,Черновая,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"628 просмотров, 5 за сегодня",,3.0,"Василеостровская, Горный институт, Спортивная","9 мин., 18 мин., 18 мин.",,,
"Продается студия, 20,9 м²",ЖК «ЛСР. Измайловский»,"20,9 м²","10,7 м²",,2,11,2027,Не сдан,Предчистовая,Новостройка,"20,9 м²","10,7 м²",,"2,5 м",Во двор,Предчистовая,Монолитный,,р-н Адмиралтейский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Гостевая,Жилой комплекс,,"Внутренний двор, Архитектура",,True,"554 просмотра, 6 за сегодня","1 пассажирский, 1 грузовой",3.0,"Балтийская, Технологический институт, Фрунзенская","14 мин., 11 мин., 12 мин.",1 совмещенный,,Есть
"Продается 2-комн. квартира, 73,1 м²",ЖК «Neva Haus (Нева Хаус)»,"73,1 м²","50,8 м²","6,5 м²",7,9,2024,Сдан,Без отделки,Новостройка,"73,1 м²","50,8 м²","6,5 м²",3 м,Во двор,Без отделки,Монолитный,Подземная,р-н Петроградский,9к2,ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Подземная,Жилой комплекс,Без отделки,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"2059 просмотров, нет за сегодня",1 пассажирский,3.0,"Крестовский остров, Василеостровская, Спортивная","25 мин., 5 мин., 6 мин.",1 раздельный,,
"Продается 3-комн. квартира, 72,2 м²",ЖК «Дыбенко Парк»,"72,2 м²","39,1 м²","17,1 м²",10,22,2027,Не сдан,Чистовая,Новостройка,"72,2 м²","39,1 м²","17,1 м²","2,75 м",На улицу и двор,Чистовая,Монолитный,Многоуровневая,р-н Невский,38Б,ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"467 просмотров, 7 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Проспект Большевиков, Ломоносовская","16 мин., 7 мин., 9 мин.",2 совмещенных,,
"Продается 3-комн. квартира, 74,1 м²",ЖК «Шкиперский 19»,"74,1 м²","36,6 м²","23,2 м²",3,12,2027,Не сдан,Без отделки,Новостройка,"74,1 м²","36,6 м²","23,2 м²","2,82 м",На улицу,Без отделки,Монолитный,Открытая,р-н Василеостровский,к2,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"41 просмотр, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","5 мин., 5 мин., 7 мин.",2 совмещенных,,
"Продается 2-комн. квартира, 72,1 м²",ЖК «Нева Резиденс»,"72,1 м²",51 м²,"5,9 м²",8,8,2024,Сдан,Без отделки,Новостройка,"72,1 м²",51 м²,"5,9 м²","3,15 м",На улицу,Без отделки,Монолитный,Подземная,р-н Петроградский,15,ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Гостевая,Жилой комплекс,Без отделки,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"114 просмотров, нет за сегодня",1 пассажирский,3.0,"Спортивная, Чкаловская, Василеостровская","23 мин., 25 мин., 4 мин.",1 раздельный,,
"Продается студия, 27,4 м²",ЖК «Нева Резиденс»,"27,4 м²","13,5 м²",,8,8,2024,Сдан,Без отделки,Новостройка,"27,4 м²","13,5 м²",,"3,16 м",Во двор,Без отделки,Монолитный,Подземная,р-н Петроградский,15,ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Гостевая,Жилой комплекс,Без отделки,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"204 просмотра, нет за сегодня",1 пассажирский,3.0,"Спортивная, Чкаловская, Василеостровская","23 мин., 25 мин., 4 мин.",1 совмещенный,1 балкон,
"Продается студия, 27,1 м²",ЖК «Шкиперский 19»,"27,1 м²","11,5 м²","8,1 м²",9,12,2027,Не сдан,Без отделки,Новостройка,"27,1 м²","11,5 м²","8,1 м²","2,82 м",На улицу,Без отделки,Монолитный,Открытая,р-н Василеостровский,к2,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"37 просмотров, 4 за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","5 мин., 5 мин., 7 мин.",1 совмещенный,1 балкон,
"Продается 3-комн. квартира, 81,98 м²",ЖК «17 линия»,"81,98 м²","42,5 м²","16,2 м²",4,10,2028,Не сдан,Предчистовая,Новостройка,"81,98 м²","42,5 м²","16,2 м²","2,73 м",,Предчистовая,Монолитный,,р-н Василеостровский,,,,,,,"Чистовая, Предчистовая",,,False,"73 просмотра, 3 за сегодня","7 пассажирских, 11 грузовых",3.0,"Василеостровская, Горный институт, Приморская","23 мин., 25 мин., 5 мин.",2 совмещенных,1 лоджия,
"Продается 1-комн. квартира, 35,9 м²",ЖК «Шкиперский 19»,"35,9 м²",10 м²,"14,4 м²",7,12,2027,Не сдан,Без отделки,Новостройка,"35,9 м²",10 м²,"14,4 м²","2,82 м",На улицу,Без отделки,Монолитный,Открытая,р-н Василеостровский,к2,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"51 просмотр, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","5 мин., 5 мин., 7 мин.",1 совмещенный,1 лоджия,
"Продается 3-комн. квартира, 77,2 м²",ЖК «Пулково Лейк»,"77,2 м²","35,8 м²","17,8 м²",3,4,2026,Не сдан,Чистовая,Новостройка,"77,2 м²","35,8 м²","17,8 м²","2,6 м",Во двор,Чистовая,Панельный,,р-н Пушкинский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"552 просмотра, 1 за сегодня","12 пассажирских, 1 грузовой",3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",2 совмещенных,2 лоджии,
